input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,match_status,source_origin_country,source_birth_place,source_current_residence,source_wikidata_id,source_wiki_url,usable_for_network,triage_reason,promotion_source,promotion_reason
Art Hodes,Art Hodes,913e5c9f-7ea0-44e3-a3cb-38a9962715ba,,Person,,auto_accept,Ukraine,Mykolaiv,United States,Q705580,https://en.wikipedia.org/wiki/Art_Hodes,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Stefan Askenase,Stefan Askenase,c6cf542a-1637-4fad-9994-f1e978b824a5,PL,Person,Polish-Belgian pianist,auto_accept,Ukraine,Lviv,Belgium,Q588354,https://en.wikipedia.org/wiki/Stefan_Askenase,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Louis Krasner,Louis Krasner,3e55aba0-b591-4943-9f14-cb8fede63031,US,Person,,auto_accept,Ukraine,Cherkasy,United States,Q2655660,https://en.wikipedia.org/wiki/Louis_Krasner,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Delfina Potocka,Delfina Potocka,b5fafffd-5606-4066-962f-5dbaf6f460aa,PL,Person,,auto_accept,Ukraine,Murovani Kurylivtsi,Poland,Q3021581,https://en.wikipedia.org/wiki/Delfina_Potocka,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Filaret Kolessa,Filaret Kolessa,c3b65019-1a56-4cc3-bfd9-05b248670e4f,UA,Person,,auto_accept,Ukraine,Stryi,Austria–Hungary,Q4227870,https://en.wikipedia.org/wiki/Filaret_Kolessa,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Józef Koffler,Józef Koffler,7928e584-ee78-4666-8a9d-7d5614e4a550,PL,Person,,auto_accept,Ukraine,Stryi,Second Polish Republic,Q655026,https://en.wikipedia.org/wiki/J%C3%B3zef_Koffler,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Denis Stoff,Denis Stoff,dd28a1a0-1980-4860-a1ff-4712e2c0c3fd,UA,Person,,auto_accept,Ukraine,Khartsyzk,Ukraine,Q19817030,https://en.wikipedia.org/wiki/Denis_Stoff,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Kirill Karabits,Kirill Karabits,15fb1034-680b-4f23-aba7-0218ff1a3fa3,UA,Person,conductor,auto_accept,Ukraine,Kyiv,Ukraine,Q6415231,https://en.wikipedia.org/wiki/Kirill_Karabits,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Oleksandr Polozhynskyi,Oleksandr Polozhynskyi,be7622e0-ac28-4970-b93f-07c7b539a137,,Person,,auto_accept,Ukraine,Lutsk,Soviet Union,Q11801469,https://en.wikipedia.org/wiki/Oleksandr_Polozhynskyi,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Dajos Béla,Dajos Béla,34ca6f4b-365f-4dc5-a8cf-5f39a35de42b,,Person,,auto_accept,Ukraine,Kyiv,Berlin,Q78124,https://en.wikipedia.org/wiki/Dajos_B%C3%A9la,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ādolfs Skulte,Ādolfs Skulte,be18c90a-adee-40a4-9bff-216839135780,LV,Person,,auto_accept,Ukraine,Kyiv,Latvia,Q336037,https://en.wikipedia.org/wiki/%C4%80dolfs_Skulte,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Roman Palester,Roman Palester,c77f8c74-85fc-4c0d-b769-40df9e312fb7,PL,Person,,auto_accept,Ukraine,Sniatyn,Poland,Q460721,https://en.wikipedia.org/wiki/Roman_Palester,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Bogusław Schaeffer,Bogusław Schaeffer,3ba37600-ef36-4aae-a095-89a3c4234173,PL,Person,,auto_accept,Ukraine,Lviv,Kraków,Q465396,https://en.wikipedia.org/wiki/Bogus%C5%82aw_Schaeffer,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mischa Levitzki,Mischa Levitzki,9517a495-9ce0-4e6f-b5e8-56572723ea62,US,Person,,auto_accept,Ukraine,Kremenchuk,United States,Q506276,https://en.wikipedia.org/wiki/Mischa_Levitzki,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alexander Uninsky,Alexander Uninsky,5d106e98-86bb-458a-bedb-751c43b248bb,US,Person,American pianist,auto_accept,Ukraine,Kyiv,Russian Empire,Q931199,https://en.wikipedia.org/wiki/Alexander_Uninsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Nikolai Dahl,Nikolai Dahl,f9fb846e-8506-4454-ae5a-94abd340add0,RU,Person,,auto_accept,Ukraine,Kherson,Russian Empire,Q2439764,https://en.wikipedia.org/wiki/Nikolai_Dahl,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Klavdia Petrivna,Klavdia Petrivna,8b064dd8-e707-41d6-b9db-e4d14d7dc4a7,UA,Person,,auto_accept,Ukraine,Hirne,Ukraine,Q123117464,https://en.wikipedia.org/wiki/Klavdia_Petrivna,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alexey Retinsky,Alexey Retinsky,8d09c412-622e-44b6-a181-0c422429c56b,,Person,,auto_accept,Ukraine,Simferopol,Austria,Q4393696,https://en.wikipedia.org/wiki/Alexey_Retinsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Hanna Havrylets,Hanna Havrylets,2872267b-ab35-48eb-9f1b-878e74f0c165,UA,Person,composer,auto_accept,Ukraine,Vydyniv,Soviet Union,Q5648689,https://en.wikipedia.org/wiki/Hanna_Havrylets,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alloise,Alloise,a7ee0f9b-8527-417f-9082-abb10574ae0a,UA,Person,,auto_accept,Ukraine,Poltava,Ukraine,Q18235061,https://en.wikipedia.org/wiki/Alloise,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Zofia Lissa,Zofia Lissa,a6ac93de-36ca-42e2-b528-82d799c7c0a3,PL,Person,musicologist,auto_accept,Ukraine,Lviv,Poland,Q218308,https://en.wikipedia.org/wiki/Zofia_Lissa,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
L. Wolfe Gilbert,L. Wolfe Gilbert,b9640354-c80b-4fe7-ab2c-7b5c68674157,US,Person,,auto_accept,Ukraine,Odesa,United States,Q329358,https://en.wikipedia.org/wiki/L._Wolfe_Gilbert,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Lee Altus,Lee Altus,e1028d08-7ef0-4314-9790-a45467cfe685,US,Person,,auto_accept,Ukraine,Odesa,United States,Q361721,https://en.wikipedia.org/wiki/Lee_Altus,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Sebastian z Felsztyna,Sebastian z Felsztyna,c6ddce9f-7feb-4a89-9c80-bafb42ae5575,PL,Person,,auto_accept,Ukraine,Skelivka,Poland,Q163833,https://en.wikipedia.org/wiki/Sebastian_z_Felsztyna,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Achilles Alferaki,Achilles Alferaki,97ca1418-e5b0-415c-9a01-1cdb29484c8f,RU,Person,,auto_accept,Ukraine,Kharkiv,Russian Empire,Q340294,https://en.wikipedia.org/wiki/Achilles_Alferaki,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Gavriil Musicescu,Gavriil Musicescu,50cc1a56-53de-42bf-a4bc-21402f43ce61,RO,Person,,auto_accept,Ukraine,Izmail,Kingdom of Romania,Q459023,https://en.wikipedia.org/wiki/Gavriil_Musicescu,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Lew Brown,Lew Brown,4d8cacfc-145e-42db-b779-f285898a455b,US,Person,,auto_accept,Ukraine,Odesa,United States,Q4096110,https://en.wikipedia.org/wiki/Lew_Brown,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Bolesław Woytowicz,Bolesław Woytowicz,d815bb9f-b755-447a-87d9-cd05b30553ef,PL,Person,pianist / composer,auto_accept,Ukraine,Dunaivtsi,Poland,Q891327,https://en.wikipedia.org/wiki/Boles%C5%82aw_Woytowicz,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Naftule Brandwein,Naftule Brandwein,465c9697-ff9c-4651-9cc5-9db662ff3f1e,US,Person,,auto_accept,Ukraine,Peremyshliany,Austria–Hungary,Q1351126,https://en.wikipedia.org/wiki/Naftule_Brandwein,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Thomas de Hartmann,Thomas de Hartmann,1e52f345-e76e-4b3c-898e-f8b043781e0a,RU,Person,,auto_accept,Ukraine,Choruživka,Russian Empire,Q1382528,https://en.wikipedia.org/wiki/Thomas_de_Hartmann,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Yaktak,YAKTAK,7fba4b11-78b3-4722-8d51-cf8b1c3abc58,UA,Person,Ukrainian singer,auto_accept,Ukraine,Stara Vyzhivka,Ukraine,Q110246609,https://en.wikipedia.org/wiki/Yaktak,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Lubka Kolessa,Lubka Kolessa,37a4e0e7-ed24-454d-8766-a766eba6580b,CA,Person,pianist,auto_accept,Ukraine,Lviv,Canada,Q274423,https://en.wikipedia.org/wiki/Lubka_Kolessa,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Józef Turczyński,Józef Turczyński,5dc618da-6e5d-44b5-abe6-5fd6fc575180,PL,Person,pianist,auto_accept,Ukraine,Zhytomyr,Poland,Q2089975,https://en.wikipedia.org/wiki/J%C3%B3zef_Turczy%C5%84ski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Liudmyla Monastyrska,Liudmyla Monastyrska,e9b5dde9-6750-4f22-a543-681255475f88,UA,Person,soprano,auto_accept,Ukraine,Irkliiv,Ukraine,Q6654017,https://en.wikipedia.org/wiki/Liudmyla_Monastyrska,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Nina Koshetz,Nina Koshetz,09f02025-e044-4e2b-bf9e-dfb4a020acac,US,Person,,auto_accept,Ukraine,Kyiv,Russian Empire,Q7037999,https://en.wikipedia.org/wiki/Nina_Koshetz,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Emil Cooper,Emil Cooper,e03d4544-92c1-48f5-997e-17c1fa49b11a,RU,Person,"aka Emil Kuper, conductor",auto_accept,Ukraine,Kherson,Russian Empire,Q2023664,https://en.wikipedia.org/wiki/Emil_Cooper,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
EeOneGuy,Eeoneguy,c7873309-6e58-4147-800f-4b470c9211c7,,,,auto_accept,Ukraine,Hannivka,Ukraine,Q24088965,https://en.wikipedia.org/wiki/EeOneGuy,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alan Schneider,Alan Schneider,680eb5c4-ce98-40e4-a6b0-f8d147b0e99a,,Person,producer,auto_accept,Ukraine,Kharkiv,United States,Q575443,https://en.wikipedia.org/wiki/Alan_Schneider,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Jo Swerling,Jo Swerling,517166c1-dcbf-4008-aeb9-b2043e87b00b,US,Person,,auto_accept,Ukraine,Berdychiv,United States,Q369404,https://en.wikipedia.org/wiki/Jo_Swerling,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Zdzisław Jachimecki,Zdzisław Jachimecki,bde4522f-05e3-4543-b260-a0926ea497d7,PL,Person,,auto_accept,Ukraine,Lviv,Poland,Q169249,https://en.wikipedia.org/wiki/Zdzis%C5%82aw_Jachimecki,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Norbert Glanzberg,Norbert Glanzberg,343995f5-cc3f-4175-a7b4-b86282f3b3c1,FR,Person,,auto_accept,Ukraine,Rohatyn,Austria–Hungary,Q213834,https://en.wikipedia.org/wiki/Norbert_Glanzberg,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Lazare Saminsky,Lazare Saminsky,a89abf2e-9391-4ba2-a584-51bc0f176ed2,US,Person,Russian-American composer,auto_accept,Ukraine,Dolynske,Russian Empire,Q969499,https://en.wikipedia.org/wiki/Lazare_Saminsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Marcin Leopolita,Marcin Leopolita,ceed16ce-9371-40a8-85de-1a037eb59aa5,PL,Person,,auto_accept,Ukraine,Lviv,Polish–Lithuanian Commonwealth,Q954206,https://en.wikipedia.org/wiki/Marcin_Leopolita,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Tadeusz Szeligowski,Tadeusz Szeligowski,cb4557c0-8583-4171-b78e-6df480bbdc62,PL,Person,,auto_accept,Ukraine,Lviv,Poland,Q964782,https://en.wikipedia.org/wiki/Tadeusz_Szeligowski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Sholom Secunda,Sholom Secunda,1938ef95-a40c-4db0-a1a3-723769d6c437,US,Person,,auto_accept,Ukraine,Oleksandriia,Russian Empire,Q947698,https://en.wikipedia.org/wiki/Sholom_Secunda,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
SadSvit,SadSvit,c10e6aa5-afd0-464a-95b9-8022c050cb31,UA,Person,,auto_accept,Ukraine,Ivano-Frankivsk,Ukraine,Q114527926,https://en.wikipedia.org/wiki/SadSvit,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Constantin Regamey,Constantin Régamey,196e97eb-ba27-4601-a08b-ec5a80d24fb5,PL,Person,,auto_accept,Ukraine,Kyiv,Poland,Q2995022,https://en.wikipedia.org/wiki/Constantin_Regamey,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Vadym Kholodenko,Vadym Kholodenko,93c75877-c152-4b49-b070-46ef20cd6f11,UA,Person,pianist,auto_accept,Ukraine,Kyiv,Ukraine,Q4499275,https://en.wikipedia.org/wiki/Vadym_Kholodenko,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ruth Rubin,Ruth Rubin,63a154f1-ebb0-4962-9252-3863f8f43e0a,CA,Person,,auto_accept,Ukraine,Khotyn,Canada,Q50281375,https://en.wikipedia.org/wiki/Ruth_Rubin,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Tossy Spivakovsky,Tossy Spivakovsky,617334ff-d6ba-43cd-bb18-f29447c91c46,RU,Person,violinist,auto_accept,Ukraine,Odesa,Berlin,Q4431189,https://en.wikipedia.org/wiki/Tossy_Spivakovsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Anastasiya Petryshak,Anastasiya Petryshak,faf537b9-5c3d-463c-9560-794d4b0bf7cd,UA,Person,violinist,auto_accept,Ukraine,Ivano-Frankivsk,Ukraine,Q20671910,https://en.wikipedia.org/wiki/Anastasiya_Petryshak,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Zara Levina,Zara Levina,e6e40d4a-ecd6-4a35-a028-f4420bcaddbe,UA,Person,Soviet composer and pianist,auto_accept,Ukraine,Simferopol,Soviet Union,Q385608,https://en.wikipedia.org/wiki/Zara_Levina,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Elżbieta Sikora,Elżbieta Sikora,7c6c2147-07d0-4b05-a905-c6e528c28dda,FR,Person,,auto_accept,Ukraine,Lviv,Paris,Q434549,https://en.wikipedia.org/wiki/El%C5%BCbieta_Sikora,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ben-Zion Witler,Benzion Witler,edc3b34a-e886-474d-84c2-01018212994b,US,Person,,auto_accept,Ukraine,Belz,Galicia,Q4885170,https://en.wikipedia.org/wiki/Ben-Zion_Witler,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Zavel Kwartin,Zavel Kwartin,9ece74f0-993b-47d4-9aaa-11ea206e18e6,US,Person,,auto_accept,Ukraine,Novoarkhanhelsk,United States,Q623243,https://en.wikipedia.org/wiki/Zavel_Kwartin,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Vitalij Kuprij,Vitalij Kuprij,0bbadaa0-1ca7-42b3-8c6a-c6cf2f02eb8b,US,Person,,auto_accept,Ukraine,Kyiv,Ukraine,Q846111,https://en.wikipedia.org/wiki/Vitalij_Kuprij,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ludwig Rottenberg,Ludwig Rottenberg,d2487c95-4c0c-4136-998b-52aff6a212d4,AT,Person,,auto_accept,Ukraine,Chernivtsi,Austria,Q872179,https://en.wikipedia.org/wiki/Ludwig_Rottenberg,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Nikolai Sokoloff,Nikolai Sokoloff,bcc9a4f9-affb-47f3-bcc1-102b21255804,US,Person,US-Ukrainian conductor,auto_accept,Ukraine,Kyiv,United States,Q2080502,https://en.wikipedia.org/wiki/Nikolai_Sokoloff,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mark Kopytman,Mark Kopytman,e4ac4a37-aae3-418f-a635-09856fe7fd7a,IL,Person,,auto_accept,Ukraine,Kamianets-Podilskyi,Israel,Q2450868,https://en.wikipedia.org/wiki/Mark_Kopytman,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Kola,KOLA,fc70c49c-6e2c-4f7f-9aab-24bf36770952,UA,Person,Ukrainian singer,auto_accept,Ukraine,Kharkiv,Ukraine,Q114891075,https://en.wikipedia.org/wiki/Kola_(singer),True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Irina Zaritskaya,Irina Zaritzkaya,d20f2653-1ed0-407c-b081-c6285edfbe84,UA,Person,pianist,auto_accept,Ukraine,Kyiv,Ukraine,Q3389363,https://en.wikipedia.org/wiki/Irina_Zaritskaya,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Toscha Seidel,Toscha Seidel,1d714761-e352-4c3e-85a2-9ae4a5e2be00,RU,Person,,auto_accept,Ukraine,Odesa,United States,Q4184265,https://en.wikipedia.org/wiki/Toscha_Seidel,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Olga Mykytenko,Olga Mykytenko,64c6258c-d104-4655-9718-d0a8d3ad2436,UA,Person,soprano,auto_accept,Ukraine,Zhytomyr,Ukraine,Q1277817,https://en.wikipedia.org/wiki/Olga_Mykytenko,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Gershon Sirota,Gershon Sirota,5cff05c7-7577-45e3-9e18-402f78a6e68f,PL,Person,,auto_accept,Ukraine,Haisyn,Haisyn,Q2915432,https://en.wikipedia.org/wiki/Gershon_Sirota,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Dalia Stasevska,Dalia Stasevska,b8eb520f-7dcd-4c3a-aa95-d7804427deba,FI,Person,conductor,auto_accept,Ukraine,Kyiv,Helsinki,Q18421683,https://en.wikipedia.org/wiki/Dalia_Stasevska,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Rezz,REZZ,2eaf4267-4dd6-412a-9bb0-596afb90215b,CA,Person,EDM producer Isabelle Rezazadeh,auto_accept,Ukraine,Ukraine,Canada,Q35487701,https://en.wikipedia.org/wiki/Rezz,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Miss Monique,Miss Monique,167f05d9-c9d2-48b5-977d-98d7c78834f8,,Person,Ukrainian trance artist Alesia Arkusha,auto_accept,Ukraine,Kropyvnytskyi,Lisbon,Q111208579,https://en.wikipedia.org/wiki/Miss_Monique,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ireesha,Ireesha,3f4dce07-7b87-437e-ab72-50e35d48cb48,UA,Person,,auto_accept,Ukraine,Kyiv,Soviet Union,Q1274170,https://en.wikipedia.org/wiki/Iryna_Blokhina,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Sidi Tal,Sidi Tal,2c18b93b-1e20-462d-85a7-6981c4e74d30,,Person,,auto_accept,Ukraine,Chernivtsi,Austria–Hungary,Q4450651,https://en.wikipedia.org/wiki/Sidi_Tal,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Valeriy Sokolov,Valeriy Sokolov,55a4085c-be04-4eb3-8b5e-70dc03ae0c8d,DE,Person,violinist,auto_accept,Ukraine,Kharkiv,Ukraine,Q1378764,https://en.wikipedia.org/wiki/Valeriy_Sokolov,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Jonasz Kofta,Jonasz Kofta,78016b0c-199d-4dba-9727-b970401af4e7,PL,Person,,auto_accept,Ukraine,Mizoch,Poland,Q278002,https://en.wikipedia.org/wiki/Jonasz_Kofta,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Al Sherman,Al Sherman,8fd502d1-eef3-4962-a478-9cb229bd8f63,US,Person,jazz trombone,auto_accept,Ukraine,Kyiv,United States,Q1260972,https://en.wikipedia.org/wiki/Al_Sherman,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Nicholas Brodzsky,Nicholas Brodzsky,3d361dba-4b1f-41b6-a56d-b5a116278d20,UA,Person,,auto_accept,Ukraine,Odesa,Hungary,Q1991393,https://en.wikipedia.org/wiki/Nicholas_Brodszky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mikhail Goldstein,Mikhail Goldstein,e177d716-4230-4826-a7de-c400f7d94838,UA,Person,Soviet composer and violinist,auto_accept,Ukraine,Odesa,Germany,Q478325,https://en.wikipedia.org/wiki/Mikhail_Goldstein,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Krystyna Moszumańska-Nazar,Krystyna Moszumańska-Nazar,f7346750-6002-4018-a14e-7117a50df208,PL,Person,,auto_accept,Ukraine,Lviv,Poland,Q519116,https://en.wikipedia.org/wiki/Krystyna_Moszuma%C5%84ska-Nazar,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Francesco Pollini,Francesco Pollini,7d1195c1-ca0f-47fb-9607-bb62126e596b,,Person,Austrian-Roman musician,auto_accept,Ukraine,Lubiana,Austrian Empire,Q1351579,https://en.wikipedia.org/wiki/Francesco_Pollini,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Sasha Boole,Sasha Boole,6124caab-e837-40c7-94e5-33621ef09d63,UA,Person,,auto_accept,Ukraine,Zhytomyr,Ukraine,Q28919523,https://en.wikipedia.org/wiki/Sasha_Boole,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Adolph Baller,Adolph Baller,6e54f4c6-faa9-4eb8-afc5-7a65e9a87719,US,Person,pianist,auto_accept,Ukraine,Brody,Austria,Q86412,https://en.wikipedia.org/wiki/Adolph_Baller,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Oleksandr Shchetynsky,Alexander Shchetynsky,c5abdcf1-60ef-4f0d-a4d1-dee6bd595def,UA,Person,,auto_accept,Ukraine,Kharkiv,Soviet Union,Q2033246,https://en.wikipedia.org/wiki/Alexander_Shchetynsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Jan Kleczyński,Jan Kleczyński,fd92d5d9-80e8-4309-ab98-f91351885b7a,PL,Person,,auto_accept,Ukraine,Ivanychi,Congress Poland,Q2080097,https://en.wikipedia.org/wiki/Jan_Kleczy%C5%84ski_Sr.,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Anatole Fistoulari,Anatole Fistoulari,8967f5da-ab20-4eb8-a00d-1855f9110f58,GB,Person,conductor,auto_accept,Ukraine,Kyiv,United Kingdom,Q487710,https://en.wikipedia.org/wiki/Anatole_Fistoulari,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Oleg Maisenberg,Oleg Maisenberg,aca97bb9-e249-4fe1-8615-72373798154d,RU,Person,pianist,auto_accept,Ukraine,Odesa,Austria,Q685169,https://en.wikipedia.org/wiki/Oleg_Maisenberg,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Charlie Spivak,Charlie Spivak,a18c050d-b706-441f-924c-ef0ce253b588,US,Person,,auto_accept,Ukraine,Kyiv,United States,Q2645829,https://en.wikipedia.org/wiki/Charlie_Spivak,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alexander Gavrylyuk,Alexander Gavrylyuk,d80dd951-8c3b-4efb-8196-e44b410f7616,AU,Person,pianist,auto_accept,Ukraine,Kharkiv,Australia,Q2082375,https://en.wikipedia.org/wiki/Alexander_Gavrylyuk,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Albert Markov,Albert Markov,128f928c-6450-4f87-9e16-30ab099aa253,US,Person,violinist,auto_accept,Ukraine,Kharkiv,Soviet Union,Q2831383,https://en.wikipedia.org/wiki/Albert_Markov,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alexander Abramsky,Alexander Abramsky,0cb682d0-3304-46bb-bf6d-1051c00077fd,RU,Person,,auto_accept,Ukraine,Lutsk,Russian Empire,Q2833392,https://en.wikipedia.org/wiki/Alexander_Abramsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Yul Brynner,Yul Brynner,7a25c6af-0ff3-4e2a-81aa-795191a1fe86,US,Person,,auto_accept,Russia,Vladivostok,Far Eastern Republic,Q102813,https://en.wikipedia.org/wiki/Yul_Brynner,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Irving Berlin,Irving Berlin,5e645519-a175-4fe0-9a9b-eb9dc9f506b5,US,Person,,auto_accept,Russia,Tyumen,New York City,Q128746,https://en.wikipedia.org/wiki/Irving_Berlin,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Maria Zakharova,Maria Zakharova,2f34f5f5-8fd1-44ef-b3d8-e549c827eda4,,Person,,auto_accept,Russia,Moscow,Beijing,Q20812953,https://en.wikipedia.org/wiki/Maria_Zakharova,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Airat Ichmouratov,Airat Ichmouratov,ef6395f2-54b8-460e-9c5e-4fca2d1ceb94,CA,Person,,auto_accept,Russia,Kazan,Canada,Q21063940,https://en.wikipedia.org/wiki/Airat_Ichmouratov,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Armin Mueller-Stahl,Armin Mueller-Stahl,f61bb183-fde3-4d2e-9189-9e6ffe042fd0,DE,Person,,auto_accept,Russia,Sovetsk,German Democratic Republic,Q164117,https://en.wikipedia.org/wiki/Armin_Mueller-Stahl,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Tina Karol,Tina Karol,81fdd079-7d05-4ba4-8577-9500df6a8c4c,UA,Person,,auto_accept,Russia,Orotukan,Zazymia,Q229065,https://en.wikipedia.org/wiki/Tina_Karol,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Helene Fischer,Helene Fischer,167e1cd2-4a9e-4f34-bcda-2e0acf0a1797,DE,Person,,auto_accept,Russia,Krasnoyarsk,Inning am Ammersee,Q236549,https://en.wikipedia.org/wiki/Helene_Fischer,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
George Sanders,George Sanders,fc85172e-fb31-48c2-abf1-89df7d8466b9,GB,Person,,auto_accept,Russia,Saint Petersburg,United Kingdom,Q296491,https://en.wikipedia.org/wiki/George_Sanders,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Zedd,Zedd,56c4b861-0922-4c3a-a9b9-3bfcb00f8274,DE,Person,Russian‐German producer,auto_accept,Russia,Saratov,Germany,Q21088,https://en.wikipedia.org/wiki/Zedd,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alexander Alexandrov,Alexander Alexandrov,ed3ba141-b10c-45f2-a375-d362b511813e,,Person,bassoon,auto_accept,Russia,Plakhino,Russian Empire,Q319708,https://en.wikipedia.org/wiki/Alexander_Vasilyevich_Alexandrov,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Lena Katina,Lena Katina,5f46a984-294d-4d41-9055-0ef628c66f40,RU,Person,,auto_accept,Russia,Moscow,Russia,Q228826,https://en.wikipedia.org/wiki/Lena_Katina,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
