input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Zhanna Kolodub,Zhanna,dc818600-37f9-4661-9ace-b5666d73331d,KZ,Person,psytrance djane,100,review_needed,Candidate is disambiguated and should be checked manually.,Zhanna Kolodub,Q12111665,Ukraine,Vinnytsia,Soviet Union,https://en.wikipedia.org/wiki/Zhanna_Kolodub
Svyatoslav Lunyov,Svyatoslav,70103059-6ad6-4b29-ae1e-4d5c9ef32d54,,Person,,100,review_needed,Candidate needs manual review.,Svyatoslav Lunyov,Q4269586,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Svyatoslav_Lunyov
Osip Petrov,Viktor Petrov,8c1a4ddc-deeb-4212-8e0d-fbe85b29f352,,Person,production music composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Osip Petrov,Q1131756,Ukraine,Kropyvnytskyi,Russian Empire,https://en.wikipedia.org/wiki/Osip_Petrov
Edward Dębicki,Edward Elgar,4e60a56a-514a-4a19-a3cc-49927c96b3cb,GB,Person,composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Edward Dębicki,Q5342684,Ukraine,Kalush,Poland,https://en.wikipedia.org/wiki/Edward_D%C4%99bicki
Liudmyla Monastyrska,Liudmyla Monastyrska,e9b5dde9-6750-4f22-a543-681255475f88,UA,Person,soprano,100,auto_accept,Very high score and near-exact name match.,Liudmyla Monastyrska,Q6654017,Ukraine,Irkliiv,Ukraine,https://en.wikipedia.org/wiki/Liudmyla_Monastyrska
Nina Koshetz,Nina Koshetz,09f02025-e044-4e2b-bf9e-dfb4a020acac,US,Person,,100,auto_accept,Very high score and near-exact name match.,Nina Koshetz,Q7037999,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Nina_Koshetz
Paul Kochanski,Paweł Kochański,ea9a6d55-4e80-4b17-a78f-4a71d47ccf8e,PL,Person,violinist,100,review_needed,Candidate is disambiguated and should be checked manually.,Paul Kochanski,Q6130338,Ukraine,Odesa,Saint Petersburg,https://en.wikipedia.org/wiki/Paul_Kochanski
Stepan Charnetsky,Степан Миколайович Чарнецький,779b3990-8ca8-4900-a405-737817f92a0b,,Person,,100,review_needed,Candidate needs manual review.,Stepan Charnetsky,Q12169160,Ukraine,Shmankivtsi,Shmankivtsi,https://en.wikipedia.org/wiki/Stepan_Charnetskyi
Vlasta Fabianová,Vlasta,3bf12f46-4988-4d74-abb6-b1d1814751b6,FR,Group,,100,review_needed,Candidate needs manual review.,Vlasta Fabianová,Q770831,Ukraine,Lviv,Brno,https://en.wikipedia.org/wiki/Vlasta_Fabianov%C3%A1
Emil Cooper,Emil Cooper,e03d4544-92c1-48f5-997e-17c1fa49b11a,RU,Person,"aka Emil Kuper, conductor",100,auto_accept,Very high score and near-exact name match.,Emil Cooper,Q2023664,Ukraine,Kherson,Russian Empire,https://en.wikipedia.org/wiki/Emil_Cooper
Vasyl Lazarovych,Василь Лазарович,416fdadc-bb47-479b-805d-df464e6bdecc,,Person,,100,review_needed,Candidate needs manual review.,Vasyl Lazarovych,Q949656,Ukraine,Bania-Bereziv,Ukraine,https://en.wikipedia.org/wiki/Vasyl_Lazarovych
Tamara Miansarova,Тамара Миансарова,936ffeb6-401e-4a1d-978c-395b98ba11ae,SU,Person,,100,review_needed,Candidate needs manual review.,Tamara Miansarova,Q1975962,Ukraine,Kropyvnytskyi,Russia,https://en.wikipedia.org/wiki/Tamara_Miansarova
Vadim Mulerman,Вадим Мулерман,758fccdb-c134-49bd-b1dd-322093c886b2,SU,Person,,100,review_needed,Candidate needs manual review.,Vadim Mulerman,Q4306877,Ukraine,Kharkiv,Soviet Union,https://en.wikipedia.org/wiki/Vadim_Mulerman
Tutta Larsen,Тутта Ларсен,f5d2cb40-abed-49f6-b50a-19410fa3e35e,RU,Person,,100,review_needed,Candidate needs manual review.,Tutta Larsen,Q4466637,Ukraine,Donetsk,Russia,https://en.wikipedia.org/wiki/Tutta_Larsen
Lyubov Uspenskaya,Lyubov,10b1dad6-5c0d-48ec-a4de-4fd94e2e6ca0,,Person,Vocalist from Pinkshinyultrablast,100,review_needed,Candidate is disambiguated and should be checked manually.,Lyubov Uspenskaya,Q4477966,Ukraine,Kyiv,Russia,https://en.wikipedia.org/wiki/Lyubov_Uspenskaya
Yevheniya Dembska,,,,,,,no_match,No usable result returned by MusicBrainz.,Yevheniya Dembska,Q17371743,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Yevheniya_Dembska
Maria Hrebinetska,Maria Bethânia,b3998c06-04e6-4b1d-bd2a-d5b83572ae7b,BR,Person,,100,review_needed,Candidate needs manual review.,Maria Hrebinetska,Q20066629,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Maria_Hrebinetska
Svitlana Tarabarova,TARABAROVA,202c8faa-a240-49f3-b0b4-501d92fa17e4,UA,Person,,100,review_needed,Candidate needs manual review.,Svitlana Tarabarova,Q20070199,Ukraine,Kherson,Ukraine,https://en.wikipedia.org/wiki/Svitlana_Tarabarova
EeOneGuy,Eeoneguy,c7873309-6e58-4147-800f-4b470c9211c7,,,,100,auto_accept,Very high score and near-exact name match.,EeOneGuy,Q24088965,Ukraine,Hannivka,Ukraine,https://en.wikipedia.org/wiki/EeOneGuy
Alan Schneider,Alan Schneider,680eb5c4-ce98-40e4-a6b0-f8d147b0e99a,,Person,producer,100,auto_accept,Very high score and near-exact name match.,Alan Schneider,Q575443,Ukraine,Kharkiv,United States,https://en.wikipedia.org/wiki/Alan_Schneider
Vasyl Verkhovynets,Vasyl Kotys,604114be-a058-46ba-b6f4-3c9f781da429,UA,Person,,100,review_needed,Candidate needs manual review.,Vasyl Verkhovynets,Q7917067,Ukraine,Staryi Mizun,Austria–Hungary,https://en.wikipedia.org/wiki/Vasyl_Verkhovynets
Jo Swerling,Jo Swerling,517166c1-dcbf-4008-aeb9-b2043e87b00b,US,Person,,100,auto_accept,Very high score and near-exact name match.,Jo Swerling,Q369404,Ukraine,Berdychiv,United States,https://en.wikipedia.org/wiki/Jo_Swerling
Zdzisław Jachimecki,Zdzisław Jachimecki,bde4522f-05e3-4543-b260-a0926ea497d7,PL,Person,,100,auto_accept,Very high score and near-exact name match.,Zdzisław Jachimecki,Q169249,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Zdzis%C5%82aw_Jachimecki
Mikhail Chulaki,Михаил Чулаки,e83b90db-eba5-46a5-979e-9c257b839848,RU,Person,,100,review_needed,Candidate needs manual review.,Mikhail Chulaki,Q172330,Ukraine,Simferopol,Soviet Union,https://en.wikipedia.org/wiki/Mikhail_Chulaki
Norbert Glanzberg,Norbert Glanzberg,343995f5-cc3f-4175-a7b4-b86282f3b3c1,FR,Person,,100,auto_accept,Very high score and near-exact name match.,Norbert Glanzberg,Q213834,Ukraine,Rohatyn,Austria–Hungary,https://en.wikipedia.org/wiki/Norbert_Glanzberg
Venya Drkin,Веня Д’ркин,f89cdc20-9bc5-4ba0-be4b-fd84c0827d48,UA,Person,,100,review_needed,Candidate needs manual review.,Venya Drkin,Q1959324,Ukraine,Dovzhanske,Russia,https://en.wikipedia.org/wiki/Venya_D%27rkin
Sergey Zakharov,Alexei Zakharov,cfca9a21-1549-47dd-95b9-240ff42a9078,RU,Person,,100,review_needed,Candidate needs manual review.,Sergey Zakharov,Q3329763,Ukraine,Mykolaiv,Russia,https://en.wikipedia.org/wiki/Sergei_Zakharov_(singer)
Boris Sichkin,Boris,57652bf8-cfe8-42e7-b9a7-5572a7080d8d,JP,Group,Japanese experimental doom/sludge/drone/psych/metal band,100,review_needed,Candidate is disambiguated and should be checked manually.,Boris Sichkin,Q893777,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Boris_Sichkin
Lazare Saminsky,Lazare Saminsky,a89abf2e-9391-4ba2-a584-51bc0f176ed2,US,Person,Russian-American composer,100,auto_accept,Very high score and near-exact name match.,Lazare Saminsky,Q969499,Ukraine,Dolynske,Russian Empire,https://en.wikipedia.org/wiki/Lazare_Saminsky
Marcin Leopolita,Marcin Leopolita,ceed16ce-9371-40a8-85de-1a037eb59aa5,PL,Person,,100,auto_accept,Very high score and near-exact name match.,Marcin Leopolita,Q954206,Ukraine,Lviv,Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Marcin_Leopolita
Tadeusz Szeligowski,Tadeusz Szeligowski,cb4557c0-8583-4171-b78e-6df480bbdc62,PL,Person,,100,auto_accept,Very high score and near-exact name match.,Tadeusz Szeligowski,Q964782,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Tadeusz_Szeligowski
Vladimir Mikhailovich Yurovsky,Владимир Михайлович Юровский,c6dc626c-3122-4255-a8f4-8a7835d0476d,DE,Person,conductor,100,review_needed,Candidate is disambiguated and should be checked manually.,Vladimir Mikhailovich Yurovsky,Q982740,Ukraine,Tarashcha,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Yurovsky
Sholom Secunda,Sholom Secunda,1938ef95-a40c-4db0-a1a3-723769d6c437,US,Person,,100,auto_accept,Very high score and near-exact name match.,Sholom Secunda,Q947698,Ukraine,Oleksandriia,Russian Empire,https://en.wikipedia.org/wiki/Sholom_Secunda
Yevhen Adamtsevych,Yevhen Bubon,84e84352-68a6-4280-a9e9-d62e8d7fec8a,,Person,,100,review_needed,Candidate needs manual review.,Yevhen Adamtsevych,Q1445129,Ukraine,Solonytsia,Soviet Union,https://en.wikipedia.org/wiki/Yevhen_Adamtsevych
Masha Kondratenko,Маша Кондратенко,3b7a7d74-a671-46cf-b231-1341dbf2bf17,UA,Person,,100,review_needed,Candidate needs manual review.,Masha Kondratenko,Q61112522,Ukraine,Shostka,Ukraine,https://en.wikipedia.org/wiki/Masha_Kondratenko
SadSvit,SadSvit,c10e6aa5-afd0-464a-95b9-8022c050cb31,UA,Person,,100,auto_accept,Very high score and near-exact name match.,SadSvit,Q114527926,Ukraine,Ivano-Frankivsk,Ukraine,https://en.wikipedia.org/wiki/SadSvit
Leonid Desyatnikov,Леонид Аркадьевич Десятников,50a867a4-029d-4d65-bfb2-33ffb701f18f,RU,Person,,100,review_needed,Candidate needs manual review.,Leonid Desyatnikov,Q1986248,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Leonid_Desyatnikov
Semyon Bogatyrev,Семён Богатырёв,d7ced1dc-1327-43da-a5f3-adaec72d74d9,RU,Person,Russian musicologist and composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Semyon Bogatyrev,Q2420577,Ukraine,Kharkiv,Soviet Union,https://en.wikipedia.org/wiki/Semyon_Bogatyrev
Boleslav Yavorsky,Болеслав Яворский,b2ecb232-8251-491f-99e6-5515590af1e1,RU,Person,,100,review_needed,Candidate needs manual review.,Boleslav Yavorsky,Q2471676,Ukraine,Kharkiv,Russian Empire,https://en.wikipedia.org/wiki/Boleslav_Yavorsky
Constantin Regamey,Constantin Régamey,196e97eb-ba27-4601-a08b-ec5a80d24fb5,PL,Person,,100,auto_accept,High score and strong name similarity.,Constantin Regamey,Q2995022,Ukraine,Kyiv,Poland,https://en.wikipedia.org/wiki/Constantin_Regamey
Arthur Berkut,Артур Беркут,fe1003dd-7778-41b5-a60c-362127688eba,RU,Group,"Russian group, not a person",100,review_needed,Candidate is disambiguated and should be checked manually.,Arthur Berkut,Q4084949,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Arthur_Berkut
Mykola Vilinsky,Микола Вілінський,e2995e49-aed4-4646-9706-48a0793d9e1a,UA,Person,,100,review_needed,Candidate needs manual review.,Mykola Vilinsky,Q4111193,Ukraine,Golta,Russian Empire,https://en.wikipedia.org/wiki/Mykola_Vilinsky
Ivan Karabyts,Іван Карабиць,2fedb647-a711-4155-8f63-9fe01fef5f2e,UA,Person,Ukrainian composer and conductor,100,review_needed,Candidate is disambiguated and should be checked manually.,Ivan Karabyts,Q4213538,Ukraine,Yalta,Soviet Union,https://en.wikipedia.org/wiki/Ivan_Karabyts
Tatyana Snezhina,Татьяна Снежина,037e3ea9-8938-42c1-94a1-c8d689aff2b6,RU,Person,Famous Soviet and Russian artists,100,review_needed,Candidate is disambiguated and should be checked manually.,Tatyana Snezhina,Q4425471,Ukraine,Luhansk,Russia,https://en.wikipedia.org/wiki/Tatyana_Snezhina
Elena Cernei,Elena,a0d3f28b-3f9c-4a75-a9a4-a47c317182ab,RO,Person,Romanian pop singer Elena Gheorghe,100,review_needed,Candidate is disambiguated and should be checked manually.,Elena Cernei,Q774555,Ukraine,Bairamcha,Romania,https://en.wikipedia.org/wiki/Elena_Cernei
Irena Turkevycz-Martynec,Gene Martynec,4df17e43-a316-4c58-bfe4-ab0e9272d33c,,Person,,100,review_needed,Candidate needs manual review.,Irena Turkevycz-Martynec,Q12162959,Ukraine,Brody,Austria–Hungary,https://en.wikipedia.org/wiki/Irena_Turkevycz-Martynec
Ostap Nyzhankivsky,Ostap,3e646160-4daf-46ef-b0cc-85e86bfb272c,,,,100,review_needed,Candidate needs manual review.,Ostap Nyzhankivsky,Q6349588,Ukraine,Mali Didushichi,West Ukrainian People's Republic,https://en.wikipedia.org/wiki/Ostap_Nyzhankivsky
Vadym Kholodenko,Vadym Kholodenko,93c75877-c152-4b49-b070-46ef20cd6f11,UA,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Vadym Kholodenko,Q4499275,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Vadym_Kholodenko
Yevhen Koshovyi,Yevhen Bubon,84e84352-68a6-4280-a9e9-d62e8d7fec8a,,Person,,100,review_needed,Candidate needs manual review.,Yevhen Koshovyi,Q4236976,Ukraine,Kivsharivka,Ukraine,https://en.wikipedia.org/wiki/Yevhen_Koshovyi
Yevhen Halych,Yevhen Bubon,84e84352-68a6-4280-a9e9-d62e8d7fec8a,,Person,,100,review_needed,Candidate needs manual review.,Yevhen Halych,Q17371778,Ukraine,Bila Tserkva,Ukraine,https://en.wikipedia.org/wiki/Yevhen_Halych
Natan Rakhlin,Натан Рахлин,9fab30ab-c2f5-45a2-bc9c-f06a69443975,SU,Person,Ukrainian/Soviet conductor,100,review_needed,Candidate is disambiguated and should be checked manually.,Natan Rakhlin,Q1361982,Ukraine,Snovsk,Chekists house,https://en.wikipedia.org/wiki/Natan_Rakhlin
Pavlo Muravskyi,Pavlo,329b2552-6646-42bb-a3c3-386e9ec10795,CA,Person,,100,review_needed,Candidate needs manual review.,Pavlo Muravskyi,Q619578,Ukraine,Dmytrashkivka,Soviet Union,https://en.wikipedia.org/wiki/Pavlo_Muravskyi
Marina Maximilian Blumin,מארינה מקסימיליאן,598852df-86a9-49fa-9928-01435bdd5ed7,IL,Person,Israeli singer,100,review_needed,Candidate is disambiguated and should be checked manually.,Marina Maximilian Blumin,Q2902771,Ukraine,Dnipro,Israel,https://en.wikipedia.org/wiki/Marina_Maximilian_Blumin
Santa Dimopulos,Санта Дімопулос,566f3412-ef1a-4d5e-9431-a060bb665c26,UA,Person,,100,review_needed,Candidate needs manual review.,Santa Dimopulos,Q3472625,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Santa_Dimopulos
Assia Ahhatt,Ассія Ахат,2d3c0841-dca4-4879-b40d-3239e6481cd8,UA,Person,,100,review_needed,Candidate needs manual review.,Assia Ahhatt,Q3501195,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Assia_Ahhatt
Ivo Bobul,Іво Бобул і Лілія Сандулесу,731d1ee3-3aed-480a-850c-bb42ac7617ab,UA,Group,"Ivo Bobul, Lilia Sandulesu",100,review_needed,Candidate is disambiguated and should be checked manually.,Ivo Bobul,Q12073862,Ukraine,Terebleche,Soviet Union,https://en.wikipedia.org/wiki/Ivo_Bobul
Anastasia Kozhevnikova,Masha Kozhevnikova,cea58f33-9d5f-4ff0-96d3-1c390b13bf8d,,,,100,review_needed,Candidate needs manual review.,Anastasia Kozhevnikova,Q17371621,Ukraine,Pivdennoukrainsk,Ukraine,https://en.wikipedia.org/wiki/Anastasia_Kozhevnikova
Ruth Rubin,Ruth Rubin,63a154f1-ebb0-4962-9252-3863f8f43e0a,CA,Person,,100,auto_accept,Very high score and near-exact name match.,Ruth Rubin,Q50281375,Ukraine,Khotyn,Canada,https://en.wikipedia.org/wiki/Ruth_Rubin
Eva Hadashi,Eva Cassidy,6f2dfabb-f0bb-4801-a392-592489a148e7,US,Person,,100,review_needed,Candidate needs manual review.,Eva Hadashi,Q97165151,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Eva_Hadashi
Tossy Spivakovsky,Tossy Spivakovsky,617334ff-d6ba-43cd-bb18-f29447c91c46,RU,Person,violinist,100,auto_accept,Very high score and near-exact name match.,Tossy Spivakovsky,Q4431189,Ukraine,Odesa,Berlin,https://en.wikipedia.org/wiki/Tossy_Spivakovsky
Anastasiya Petryshak,Anastasiya Petryshak,faf537b9-5c3d-463c-9560-794d4b0bf7cd,UA,Person,violinist,100,auto_accept,Very high score and near-exact name match.,Anastasiya Petryshak,Q20671910,Ukraine,Ivano-Frankivsk,Ukraine,https://en.wikipedia.org/wiki/Anastasiya_Petryshak
Bohdana Durda,Dan Durda,0445603c-5a62-419a-8be2-90509993ff90,,Person,,100,review_needed,Candidate needs manual review.,Bohdana Durda,Q22138022,Ukraine,Buchach,Ukraine,https://en.wikipedia.org/wiki/Bohdana_Durda
Roman Filippov,Роман Филиппов,148ac81d-6a6c-464f-9b43-7163658b95b2,,,Musician,100,review_needed,Candidate is disambiguated and should be checked manually.,Roman Filippov,Q4484103,Ukraine,Simferopol,Russia,https://en.wikipedia.org/wiki/Roman_Filippov
Joachim Stutschewsky,יהויכין סטוצ׳בסקי,74200be7-f914-4bbb-a4ba-18a31c544209,IL,Person,Ukrainian-Israeli cellist and composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Joachim Stutschewsky,Q214140,Ukraine,Romny,Israel,https://en.wikipedia.org/wiki/Joachim_Stutschewsky
Dmitry Pokrass,Дмитрий Покрасс,a65125da-0762-4e27-bc12-2501087ffda8,SU,Person,,100,review_needed,Candidate needs manual review.,Dmitry Pokrass,Q368695,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Dmitry_Pokrass
Zara Levina,Zara Levina,e6e40d4a-ecd6-4a35-a028-f4420bcaddbe,UA,Person,Soviet composer and pianist,100,auto_accept,Very high score and near-exact name match.,Zara Levina,Q385608,Ukraine,Simferopol,Soviet Union,https://en.wikipedia.org/wiki/Zara_Levina
Elżbieta Sikora,Elżbieta Sikora,7c6c2147-07d0-4b05-a905-c6e528c28dda,FR,Person,,100,auto_accept,Very high score and near-exact name match.,Elżbieta Sikora,Q434549,Ukraine,Lviv,Paris,https://en.wikipedia.org/wiki/El%C5%BCbieta_Sikora
Roman Kofman,Роман Кофман,14b0dc15-a9cf-46ab-9a2c-ce088eed87af,UA,Person,,100,review_needed,Candidate needs manual review.,Roman Kofman,Q446014,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Roman_Kofman
Mark Warshawsky,Josh Warshawsky,0780c5c7-e67e-4b23-93a4-13180b4c1957,,Person,,100,review_needed,Candidate needs manual review.,Mark Warshawsky,Q2908908,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Mark_Warshawsky
Konstantin Listov,Константин Листов,1b05ea74-af59-454d-99f1-068142a5d6e4,SU,Person,,100,review_needed,Candidate needs manual review.,Konstantin Listov,Q4263449,Ukraine,Odesa,Soviet Union,https://en.wikipedia.org/wiki/Konstantin_Listov
Galina Grigoryeva,Maria Grigoryeva,c75e5bfe-503a-43ec-8c04-68d39e8a87e6,,,,100,review_needed,Candidate needs manual review.,Galina Grigoryeva,Q544608,Ukraine,Simferopol,Estonia,https://en.wikipedia.org/wiki/Galina_Grigorjeva
Jan Tabachnyk,Ян Табачник,0b19ebe4-a413-4fc0-a365-ba919851b818,UA,Person,Ukranian composer and accordionist,100,review_needed,Candidate is disambiguated and should be checked manually.,Jan Tabachnyk,Q4449226,Ukraine,Chernivtsi,Soviet Union,https://en.wikipedia.org/wiki/Jan_Tabachnyk
Ben-Zion Witler,Benzion Witler,edc3b34a-e886-474d-84c2-01018212994b,US,Person,,100,auto_accept,Very high score and near-exact name match.,Ben-Zion Witler,Q4885170,Ukraine,Belz,Galicia,https://en.wikipedia.org/wiki/Ben-Zion_Witler
Zavel Kwartin,Zavel Kwartin,9ece74f0-993b-47d4-9aaa-11ea206e18e6,US,Person,,100,auto_accept,Very high score and near-exact name match.,Zavel Kwartin,Q623243,Ukraine,Novoarkhanhelsk,United States,https://en.wikipedia.org/wiki/Zavel_Kwartin
Vitalij Kuprij,Vitalij Kuprij,0bbadaa0-1ca7-42b3-8c6a-c6cf2f02eb8b,US,Person,,100,auto_accept,Very high score and near-exact name match.,Vitalij Kuprij,Q846111,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Vitalij_Kuprij
Ludwig Rottenberg,Ludwig Rottenberg,d2487c95-4c0c-4136-998b-52aff6a212d4,AT,Person,,100,auto_accept,Very high score and near-exact name match.,Ludwig Rottenberg,Q872179,Ukraine,Chernivtsi,Austria,https://en.wikipedia.org/wiki/Ludwig_Rottenberg
Stepan Davydov,Степан Иванович Давыдов,429f6916-53fc-4dec-9978-bdf9982cacb6,RU,Person,,100,review_needed,Candidate needs manual review.,Stepan Davydov,Q925676,Ukraine,Chernihiv,Russian Empire,https://en.wikipedia.org/wiki/Stepan_Davydov
Natalie Papazoglu,Natalia Papazoglu,3b687567-0582-4c69-b9d7-5d9333639d83,UA,Person,,100,review_needed,High score but other candidates look plausible.,Natalie Papazoglu,Q25721299,Ukraine,Kalush,Ukraine,https://en.wikipedia.org/wiki/Natalie_Papazoglu
Leonid Hrabovskyi,Леонід Грабовський,d75ede30-2b14-4c8a-b04e-ffb68f53791d,UA,Person,contemporary Ukrainian composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Leonid Hrabovskyi,Q1971700,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Leonid_Hrabovsky
Vasyl Kuk,Brutal kuk,88c02cf7-464c-45ba-b7de-3f36c5d86821,NO,Group,,100,review_needed,Candidate needs manual review.,Vasyl Kuk,Q1984491,Ukraine,Krasne,Second Polish Republic,https://en.wikipedia.org/wiki/Vasyl_Kuk
Nikolai Sokoloff,Nikolai Sokoloff,bcc9a4f9-affb-47f3-bcc1-102b21255804,US,Person,US-Ukrainian conductor,100,auto_accept,Very high score and near-exact name match.,Nikolai Sokoloff,Q2080502,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Nikolai_Sokoloff
Semyon Chernetsky,Семён Чернецкий,fd9e8be3-3266-4ab2-998b-af168f2e4a43,SU,Person,,100,review_needed,Candidate needs manual review.,Semyon Chernetsky,Q2189186,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Semyon_Chernetsky
Mark Kopytman,Mark Kopytman,e4ac4a37-aae3-418f-a635-09856fe7fd7a,IL,Person,,100,auto_accept,Very high score and near-exact name match.,Mark Kopytman,Q2450868,Ukraine,Kamianets-Podilskyi,Israel,https://en.wikipedia.org/wiki/Mark_Kopytman
Pavel Gintov,Павел Гинтов,165a6e59-d217-4cda-a9fd-9b6d8ca14aff,,Person,,100,review_needed,Candidate needs manual review.,Pavel Gintov,Q1646556,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Pavlo_Gintov
Oleksandr Bilash,Олександр Білаш,de6894d8-9dbc-4efb-a06d-9fa2624fb6b8,SU,Person,український композитор,100,review_needed,Candidate is disambiguated and should be checked manually.,Oleksandr Bilash,Q2652682,Ukraine,Hradyzk,Soviet Union,https://en.wikipedia.org/wiki/Oleksandr_Bilash
Denys Sichynsky,Денис Січинський,da38c3d6-099f-4adc-bf43-ebdd4013b7ff,UA,Person,,100,review_needed,Candidate needs manual review.,Denys Sichynsky,Q12159553,Ukraine,Kliuvyntsi,Lviv,https://en.wikipedia.org/wiki/Denys_Sichynsky
Kola,KOLA,fc70c49c-6e2c-4f7f-9aab-24bf36770952,UA,Person,Ukrainian singer,100,auto_accept,Very high score and near-exact name match.,Kola,Q114891075,Ukraine,Kharkiv,Ukraine,https://en.wikipedia.org/wiki/Kola_(singer)
Irina Zaritskaya,Irina Zaritzkaya,d20f2653-1ed0-407c-b081-c6285edfbe84,UA,Person,pianist,100,auto_accept,High score and strong name similarity.,Irina Zaritskaya,Q3389363,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Irina_Zaritskaya
Kostiantyn Dankevych,Kostiantyn Ivanov,fd9f55bd-3575-4d06-b243-5cea97e5af81,,,,100,review_needed,Candidate needs manual review.,Kostiantyn Dankevych,Q4154930,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Kostiantyn_Dankevych
Mykola Arkas,Arkas,791b3f3d-4762-4a11-8c8f-5fe23057dbab,,Group,Hungarian band,100,review_needed,Candidate is disambiguated and should be checked manually.,Mykola Arkas,Q4069436,Ukraine,Mykolaiv,Mykolaiv,https://en.wikipedia.org/wiki/Mykola_Arkas
Lev Kolodub,Lev,f5ef92b0-fd02-435d-9587-84c40aa80083,IT,Group,Italian band,100,review_needed,Candidate is disambiguated and should be checked manually.,Lev Kolodub,Q4228225,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Lev_Kolodub
Toscha Seidel,Toscha Seidel,1d714761-e352-4c3e-85a2-9ae4a5e2be00,RU,Person,,100,auto_accept,Very high score and near-exact name match.,Toscha Seidel,Q4184265,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Toscha_Seidel
Oleksandr Sparynskyi,Oleksandr Dudko,17f1f562-16d1-4a32-be57-217c5a5857ca,UA,Person,,100,review_needed,Candidate needs manual review.,Oleksandr Sparynskyi,Q4430676,Ukraine,Lutsk,Soviet Union,https://en.wikipedia.org/wiki/Alexander_Sparinsky
Victoria Poleva,Виктория Валерьевна Полевая,bb0667e2-b02b-49aa-bd3f-2a7ab955344e,UA,Person,,100,review_needed,Candidate needs manual review.,Victoria Poleva,Q4369600,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Victoria_Poleva
Olga Mykytenko,Olga Mykytenko,64c6258c-d104-4655-9718-d0a8d3ad2436,UA,Person,soprano,100,auto_accept,Very high score and near-exact name match.,Olga Mykytenko,Q1277817,Ukraine,Zhytomyr,Ukraine,https://en.wikipedia.org/wiki/Olga_Mykytenko
Gershon Sirota,Gershon Sirota,5cff05c7-7577-45e3-9e18-402f78a6e68f,PL,Person,,100,auto_accept,Very high score and near-exact name match.,Gershon Sirota,Q2915432,Ukraine,Haisyn,Haisyn,https://en.wikipedia.org/wiki/Gershon_Sirota
Ivan Kuchuhura-Kucherenko,Ivan Kucherenko,9c232622-32d8-4028-b67f-5430b9f99bdf,,Person,Wargaming composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Ivan Kuchuhura-Kucherenko,Q6096729,Ukraine,Murafa,Russian Empire,https://en.wikipedia.org/wiki/Ivan_Kuchuhura-Kucherenko
Mariia Stefiuk,Mariia,94413493-2200-4632-8101-7703c760d7ce,,,,100,review_needed,Candidate needs manual review.,Mariia Stefiuk,Q4442496,Ukraine,Rozhniv,Soviet Union,https://en.wikipedia.org/wiki/Mariia_Stefiuk
Aga Lahowska,AGA,2329454d-02f7-4656-9615-4a0235f8b0cf,HK,Person,江海迦,100,review_needed,Candidate is disambiguated and should be checked manually.,Aga Lahowska,Q24961058,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Jadwiga_Lachowska
